variable,n_total_attempted_rows,n_kept_rows,n_dropped_total,dropped_non_numeric_pred,dropped_true_is_77_88_99,dropped_true_not_in_brace_allowed,dropped_pred_not_in_brace_allowed,dropped_participant_excluded_due_to_any_special,brace_allowed_set_used,allowed_set_cardinality
agea,2100,2067,33,33,0,0,0,0,False,0
gndr,2100,2092,8,6,0,0,2,0,True,2
eisced,2100,2076,24,0,10,24,0,0,True,8
eduyrs,2100,2057,43,1,42,0,0,0,False,0
hinctnta,2100,1623,477,0,477,0,0,0,False,0
domicil,2100,2093,7,0,0,7,0,0,True,5
brncntr,2100,2098,2,0,0,2,0,0,True,2
rlgdgr,2100,2084,16,2,14,0,0,0,False,0
uemp12m,2100,2089,11,0,0,11,0,0,True,3
health,2100,2097,3,0,0,3,0,0,True,5
sclmeet,2100,2097,3,0,3,3,0,0,True,7
vote,2100,2069,31,0,0,31,0,0,True,3
polintr,2100,2096,4,0,0,4,0,0,True,4
lrscale,2100,1858,242,0,242,0,0,0,False,0
trstprl,2100,2056,44,0,44,0,0,0,False,0
trstlgl,2100,2063,37,0,37,0,0,0,False,0
trstplt,2100,2073,27,0,27,0,0,0,False,0
trstprt,2100,2062,38,0,38,0,0,0,False,0
trstplc,2100,2072,28,0,28,0,0,0,False,0
trstep,2100,1959,141,0,141,0,0,0,False,0
stfdem,2100,2028,72,0,72,0,0,0,False,0
stfgov,2100,2023,77,0,77,0,0,0,False,0
ppltrst,2100,2097,3,0,3,0,0,0,False,0
pplfair,2100,2092,8,0,8,0,0,0,False,0
pplhlp,2100,2094,6,0,6,0,0,0,False,0
imbgeco,2100,2035,65,0,65,0,0,0,False,0
imueclt,2100,2039,61,0,61,0,0,0,False,0
imwbcnt,2100,2039,61,0,61,0,0,0,False,0
imdfetn,2100,2052,48,0,0,48,0,0,True,4
impcntr,2100,2047,53,0,0,53,1,0,True,4
gincdif,2100,2055,45,0,0,45,0,0,True,5
happy,2100,2090,10,0,10,0,0,0,False,0
stflife,2100,2085,15,0,15,0,0,0,False,0
